DMND;Diamond Foods, Inc.;41;$1.29B;2005;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/dmnd;;;;0.605398478
APOL;Apollo Education Group, Inc.;7.61;$824.96M;1994;Consumer Services;Other Consumer Services;http://www.nasdaq.com/symbol/apol;;;;0.548126602
MFRI;MFRI, Inc.;5.45;$39.73M;1989;Capital Goods;Pollution Control Equipment;http://www.nasdaq.com/symbol/mfri;;;;0.233263185
AAPL;Apple Inc.;116.77;$651.03B;1980;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/aapl;;;;0.051272722
FCVT;First Trust SSI Strategic Convertible Securities ETF;25.24;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/fcvt;;;;0.680713071
RRD;R.R. Donnelley & Sons Company;16.34;$3.41B;n/a;Miscellaneous;Publishing;http://www.nasdaq.com/symbol/rrd;;;;0.001817165
FOMX;Foamix Pharmaceuticals Ltd.;6.96;$212.58M;2014;Consumer Durables;Specialty Chemicals;http://www.nasdaq.com/symbol/fomx;;;;0.139547452
MFRM;Mattress Firm Holding Corp.;46.31;$1.63B;2011;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/mfrm;;;;0.62858358
CCUR;Concurrent Computer Corporation;4.86;$46.12M;n/a;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/ccur;;;;0.794348072
TFSC;1347 Capital Corp.;9.75;$57.99M;2014;Finance;Business Services;http://www.nasdaq.com/symbol/tfsc;;;;0.085904544
CATM;Cardtronics, Inc.;34.65;$1.56B;2007;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/catm;;;;0.877746092
GYRO;Gyrodyne , LLC;26.8;$808234.4;n/a;n/a;n/a;http://www.nasdaq.com/symbol/gyro;;;;0.920661538
OPGN;OpGen, Inc.;1.7;$21.31M;2015;Health Care;Medical Specialities;http://www.nasdaq.com/symbol/opgn;;;;0.645144417
MTSI;M/A-COM Technology Solutions Holdings, Inc.;33.49;$1.77B;2012;Technology;Semiconductors;http://www.nasdaq.com/symbol/mtsi;;;;0.943171428
BDMS;Birner Dental Management Services, Inc.;13.25;$24.65M;1998;Health Care;Medical/Nursing Services;http://www.nasdaq.com/symbol/bdms;;;;0.209829182
HZNP;Horizon Pharma plc;22.38;$3.56B;2011;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/hznp;;;;0.884586535
LARK;Landmark Bancorp Inc.;27.4;$91.45M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/lark;;;;0.097760038
XNPT;XenoPort, Inc.;6.55;$413.16M;2005;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/xnpt;;;;0.709937692
SEED;Origin Agritech Limited;1.64;$37.29M;n/a;Consumer Non-Durables;Farming/Seeds/Milling;http://www.nasdaq.com/symbol/seed;;;;0.516059248
HBHCL;Hancock Holding Company;24.61;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/hbhcl;;;;0.109651226
POPE;Pope Resources;59.583;$258.37M;n/a;Consumer Non-Durables;Environmental Services;http://www.nasdaq.com/symbol/pope;;;;0.527163823
EXLS;ExlService Holdings, Inc.;45;$1.48B;2006;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/exls;;;;0.084252031
FRGI;Fiesta Restaurant Group, Inc.;35.42;$950.31M;n/a;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/frgi;;;;0.935100407
TCRD;THL Credit, Inc.;11.4;$380.05M;2010;n/a;n/a;http://www.nasdaq.com/symbol/tcrd;;;;0.87062198
CYTK;Cytokinetics, Incorporated;11.93;$462.29M;2004;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cytk;;;;0.521708304
CLNT;Cleantech Solutions International, Inc.;1.41;$5.56M;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/clnt;;;;0.891537931
GRIF;Griffin Industrial Realty, Inc.;25.59;$131.86M;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/grif;;;;0.549520497
WSTC;West Corporation;25.97;$2.16B;2013;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/wstc;;;;0.996412601
OTIV;On Track Innovations Ltd;0.7;$28.59M;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/otiv;;;;0.498826928
GRMN;Garmin Ltd.;38.09;$7.25B;2000;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/grmn;;;;0.969486366
COB;CommunityOne Bancorp;13.26;$322.11M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cob;;;;0.689451804
DWSN;Dawson Geophysical Company;4.63;$99.88M;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/dwsn;;;;0.828347217
NHTC;Natural Health Trends Corp.;53.36;$653.1M;n/a;Consumer Durables;Consumer Specialties;http://www.nasdaq.com/symbol/nhtc;;;;0.165988982
LDRH;LDR Holding Corporation;25.93;$753.14M;2013;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/ldrh;;;;0.886933131
BITE;The Restaurant ETF;24.37;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/bite;;;;0.340041866
SLRC;Solar Capital Ltd.;17.71;$752.06M;2010;n/a;n/a;http://www.nasdaq.com/symbol/slrc;;;;0.725876292
DCTH;Delcath Systems, Inc.;0.47;$10.23M;2000;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/dcth;;;;0.05591779
PNQI;PowerShares Nasdaq Internet Portfolio;80.09;$256.29M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/pnqi;;;;0.477933757
AGRX;Agile Therapeutics, Inc.;8.29;$184.63M;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/agrx;;;;0.181798436
JCS;Communications Systems, Inc.;8.0501;$70.4M;n/a;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/jcs;;;;0.641139984
FANG;Diamondback Energy, Inc.;79.6;$5.31B;2012;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/fang;;;;0.486077527
AYA;Amaya Inc.;15.99;$2.13B;n/a;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/aya;;;;0.709843645
CDTX;Cidara Therapeutics, Inc.;14.7;$201.01M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/cdtx;;;;0.833330926
LENS;Presbia PLC;4.31;$57.56M;2015;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/lens;;;;0.287506194
FSTR;L.B. Foster Company;11.41;$118.72M;n/a;Basic Industries;Metal Fabrications;http://www.nasdaq.com/symbol/fstr;;;;0.219984481
TKAI;Tokai Pharmaceuticals, Inc.;11.18;$252.08M;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/tkai;;;;0.301665174
CEMP;Cempra, Inc.;30.75;$1.35B;2012;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cemp;;;;0.719836499
DGICA;Donegal Group, Inc.;14.05;$393.66M;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/dgica;;;;0.736876591
RITTW;RIT Technologies Ltd.;0.46;n/a;n/a;Consumer Durables;Telecommunications Equipment;http://www.nasdaq.com/symbol/rittw;;;;0.071165623
CVCY;Central Valley Community Bancorp;11.37;$125M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cvcy;;;;0.415555616
MANT;ManTech International Corporation;29.97;$1.13B;2002;Consumer Services;Other Consumer Services;http://www.nasdaq.com/symbol/mant;;;;0.512684405
MATR;Mattersight Corporation;7.09;$181.56M;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/matr;;;;0.295326047
CTWS;Connecticut Water Service, Inc.;35.11;$392.13M;n/a;Public Utilities;Water Supply;http://www.nasdaq.com/symbol/ctws;;;;0.00594686
LBIX;Leading Brands Inc;3.08;$8.84M;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/lbix;;;;0.998011382
ICLN;iShares S&P Global Clean Energy Index Fund;9.56;$73.61M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/icln;;;;0.450494532
WAFDW;Washington Federal, Inc.;8.89;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/wafdw;;;;0.832888774
DGRE;WisdomTree Emerging Markets Quality Dividend Growth Fund;20.588;$12.35M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/dgre;;;;0.107904126
IFON;InfoSonics Corp;1.708;$24.57M;n/a;Consumer Non-Durables;Electronic Components;http://www.nasdaq.com/symbol/ifon;;;;0.715265238
PLAY;Dave & Buster&#39;;;;;;;;;;0.446738339
BHACU;Barington/Hilco Acquisition Corp.;10.2;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhacu;;;;0.935152515
KELYB;Kelly Services, Inc.;15.99;$607.33M;n/a;Technology;Professional Services;http://www.nasdaq.com/symbol/kelyb;;;;0.806351469
SPLK;Splunk Inc.;57.67;$7.41B;2012;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/splk;;;;0.436730993
TBNK;Territorial Bancorp Inc.;28.48;$276.81M;2009;Finance;Savings Institutions;http://www.nasdaq.com/symbol/tbnk;;;;0.777037686
CRVL;CorVel Corp.;35.71;$711.66M;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/crvl;;;;0.885180828
FARM;Farmer Brothers Company;29.51;$491.51M;n/a;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/farm;;;;0.311659057
CMTL;Comtech Telecommunications Corp.;24.45;$394.52M;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/cmtl;;;;0.109952071
CPIX;Cumberland Pharmaceuticals Inc.;6.03;$100.27M;2009;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cpix;;;;0.652855206
NICE;NICE-Systems Limited;61.34;$3.63B;n/a;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/nice;;;;0.611162339
MIRN;Mirna Therapeutics, Inc.;6.085;$122.05M;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/mirn;;;;0.097093552
BNTCW;Benitec Biopharma Limited;2;n/a;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/bntcw;;;;0.274022998
YLCO;Global X Yieldco Index ETF;10.896;$2.72M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/ylco;;;;0.512477576
RDWR;Radware Ltd.;15.65;$722.07M;1999;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/rdwr;;;;0.616686066
CPHD;CEPHEID;35.6;$2.58B;2000;Capital Goods;Biotechnology: Laboratory Analytical Instruments;http://www.nasdaq.com/symbol/cphd;;;;0.33024215
SUBK;Suffolk Bancorp;30.78;$362.98M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/subk;;;;0.755394527
